ID,V1,V2
1,1,0.31561889
2,11,0.647787148
3,21,0.356091171
4,31,0.825159031
5,41,0.493304295
6,51,0.843497945
7,61,0.729703099
8,71,0.528508916
9,81,0.384286919
10,91,0.022656419
11,1,0.659030752
12,11,0.883646236
13,21,0.454068231
14,31,0.314304408
15,41,0.400517837
16,51,0.326444088
17,61,0.617123466
18,71,0.233237498
19,81,0.963168116
20,91,0.261612765
21,1,0.694283194
22,11,0.274418103
23,21,0.222385541
24,31,0.045040285
25,41,0.852990095
26,51,0.701008806
27,61,0.333579849
28,71,0.392693154
29,81,0.281872187
30,91,0.770674529
31,1,0.681457719
32,11,0.43089258
33,21,0.393527577
34,31,0.115020045
35,41,0.549405117
36,51,0.914532604
37,61,0.498649342
38,71,0.376687163
39,81,0.629717582
40,91,0.044441127
41,1,0.93252747
42,11,0.555851834
43,21,0.494950065
44,31,0.520683073
45,41,0.106730228
46,51,0.02164008
47,61,0.005445165
48,71,0.182009786
49,81,0.260854153
50,91,0
51,1,0.490695882
52,11,0.801608004
53,21,0.860836854
54,31,0.605012602
55,41,0.553219823
56,51,0.801614947
57,61,0.488029891
58,71,0.438557366
59,81,0.872144361
60,91,0.760324321
61,1,0.866887614
62,11,0.429457111
63,21,0.996560131
64,31,0.741560909
65,41,0.799139809
66,51,0.843889096
67,61,0.049887419
68,71,0.305330931
69,81,0.01760906
70,91,0.623751645
71,1,0.789143872
72,11,0.656515956
73,21,0.951627997
74,31,0.459099401
75,41,0.884330142
76,51,0.983688292
77,61,0.498332364
78,71,0.844024945
79,81,0.666105235
80,91,0.865070452
81,1,0.495027342
82,11,0.938566292
83,21,0.676673945
84,31,0.472091007
85,41,0.601790792
86,51,0.811224005
87,61,0.915658091
88,71,0.450052065
89,81,0
90,91,0.253748204
91,1,0.957319678
92,11,0.781436675
93,21,0.674678994
94,31,0.107536335
95,41,0.997192701
96,51,0.612075494
97,61,0.482714354
98,71,0.53040847
99,81,0.941525785
100,91,0.678436632
101,1,0.111345814
102,11,0.388452652
103,21,0.158712616
104,31,0.655965638
105,41,0.797341474
106,51,0.88599255
107,61,0.009352507
108,71,0.462548287
109,81,0.286028118
110,91,0.480597269
111,1,0.083907854
112,11,0.351309347
113,21,0.243320789
114,31,0.566472729
115,41,0.822193464
116,51,0.36114621
117,61,0.832616758
118,71,0.929163788
119,81,0.020401802
120,91,0.986559529
121,1,0.288575182
122,11,0.722591198
123,21,0.694832512
124,31,0.455247519
125,41,0.960426826
126,51,0.739390898
127,61,0.865129414
128,71,0
129,81,0.185322984
130,91,0.965103596
131,1,0.309104179
132,11,0.198253743
133,21,0.404667238
134,31,0.470483418
135,41,0.44514208
136,51,0.844122809
137,61,0.613493569
138,71,0.545106781
139,81,0.115336138
140,91,0.91645574
141,1,0.467437914
142,11,0.689832285
143,21,0.323300109
144,31,0.894742217
145,41,0.160284031
146,51,0.168597183
147,61,0.647643668
148,71,0.44727465
149,81,0.124693376
150,91,0.572355243
151,1,0.608311073
152,11,0.784361518
153,21,0.386518342
154,31,0.744424748
155,41,0.826351517
156,51,0.525500593
157,61,0
158,71,0.977987172
159,81,0.672986789
160,91,0.813456174
161,1,0.640545292
162,11,0.135330088
163,21,0.28250243
164,31,0.378292311
165,41,0.11817903
166,51,0.911305031
167,61,0.387037574
168,71,0.315291242
169,81,0.793807982
170,91,0.627627431
171,1,0.075073424
172,11,0.174578507
173,21,0.579973523
174,31,0.74579096
175,41,0.436077719
176,51,0.126148942
177,61,0.446845986
178,71,0.736401781
179,81,0.90601606
180,91,0.722093683
181,1,0.501641448
182,11,0.856470454
183,21,0.564892707
184,31,0.156927453
185,41,0.13841975
186,51,0.627323711
187,61,0.23165938
188,71,0
189,81,0.895107613
190,91,0.967267151
191,1,0.637182461
192,11,0.09832286
193,21,0.52320858
194,31,0.092306037
195,41,0.750733512
196,51,0.680872382
197,61,0.805400739
198,71,0.889885703
199,81,0.34683504
200,91,0.557428047
201,1,0.52619087
202,11,0.161593294
203,21,0.863424786
204,31,0.074286442
205,41,0.563995925
206,51,0.33721953
207,61,0.776209433
208,71,0.544749142
209,81,0.20548097
210,91,0.565822627
211,1,0.413400409
212,11,0.820229096
213,21,0.861831414
214,31,0.771836593
215,41,0.921071462
216,51,0
217,61,0.336111825
218,71,0.331440847
219,81,0.33472147
220,91,0.247487635
221,1,0.61310219
222,11,0.087053386
223,21,0.882903188
224,31,0.067040766
225,41,0.892850531
226,51,0.322332466
227,61,0.550410366
228,71,0.207360956
229,81,0.731820876
230,91,0.080262732
231,1,0.385663232
232,11,0.354405836
233,21,0.752181683
234,31,0.209821992
235,41,0.701534485
