PoblacionMarlin8500,PoblacionMarlin5000,PoblacionMarlin3500,PoblacionMarlin3000,PoblacionMarlin100
17164.99702,17923.71147,18795.01461,18582.72826,18797.30101
17304.76228,18289.64295,18911.85314,18366.46655,19173.15107
16722.41608,17751.38965,18490.20418,18635.9885,19515.06094
17222.32656,17687.09283,18632.43773,18489.10344,19826.09816
16613.27128,17533.44885,18393.38621,18492.39555,20113.04911
15784.30287,17076.63008,18019.3206,18338.65269,20365.71947
15583.15672,17301.17133,18360.54537,18074.47517,20602.72406
16094.27778,17148.65325,18017.34819,18335.84643,20828.16813
15019.72865,16914.89934,17980.32807,18519.16402,21040.16675
15500.95714,17358.05213,17728.11214,18449.84565,21219.75678
15785.2139,17394.3589,17562.54344,18299.05969,21397.68003
16310.8993,17769.46517,17840.36205,18224.47964,21548.81781
16266.45419,17472.45021,17994.91437,18534.80231,21673.63187
15754.83506,17225.86993,18229.75084,18518.5178,21795.3392
15602.70572,17663.49374,18187.52029,18230.47914,21895.58813
15772.80824,17340.49373,18274.36217,18601.72303,21991.5369
14783.86502,17139.96594,18429.74004,18373.73843,22095.33088
14936.65851,17149.11222,18731.03188,18661.65939,22183.66019
15403.88293,17461.98347,18956.37766,18814.97955,22249.18556
15814.58161,17801.8385,19299.5494,19131.41741,22316.54889
15621.23672,17939.80884,19475.65407,19311.1561,22382.78324
14849.55697,17699.02823,19775.86479,19136.63399,22444.81769
14072.36755,17394.95947,19825.50657,19202.5921,22498.07712
13948.51529,16938.24812,19517.08178,18864.81823,22538.68583
14215.02389,16803.53432,19705.88069,19017.07952,22566.56149
14275.46242,16754.73877,19399.7044,19116.23078,22605.80478
13855.17131,17080.98723,19473.87699,19114.31335,22622.78187
13463.35163,17339.65309,19400.64884,18906.67499,22637.51446
13867.84209,17327.72991,18882.13344,19167.77735,22667.39271
14257.46957,16912.76638,19030.45316,18999.99586,22691.73078
13673.34986,17231.85834,18957.57148,19267.66583,22722.51076
13527.96226,17525.7267,18739.60691,19206.64079,22750.18008
13003.75336,17755.10056,18752.52909,19401.43851,22759.95672
13027.96999,17847.94883,19091.15678,19413.58909,22774.21328
13544.41093,17506.50246,18724.69961,19573.78903,22784.84011
14108.84347,17717.67622,18760.53876,19341.0838,22790.48879
14458.58567,17520.50245,18701.48974,19069.73525,22804.20085
13925.12973,17410.91793,18725.55975,19330.76571,22800.68852
13667.70235,16824.0951,18637.87897,19005.68738,22806.39656
13364.08868,17081.57378,18882.34354,19321.31571,22801.71933
13578.31356,17326.19225,18481.3431,19083.1068,22817.3613
12885.75861,17761.31086,18313.16227,19215.94801,22812.06991
12883.33105,17511.21782,18182.42845,18964.17463,22820.88749
13115.72812,17025.22696,18333.82915,19326.10842,22821.48307
13655.96661,17250.14689,18505.26779,19565.53355,22830.59441
13659.36779,17016.89249,18622.58731,19818.2962,22826.14328
13055.87163,17415.94106,18598.25572,19857.77892,22831.90107
13492.30379,17227.80469,18193.42072,19934.81472,22840.2368
12844.08941,17215.39205,18211.91461,19619.9672,22836.68227
12770.68775,17300.69531,17881.0103,19597.69841,22849.37662
12390.77999,17451.08155,18317.35473,19613.74834,22844.02219
12847.7629,17185.70176,18072.25332,19531.51961,22837.63921
12557.15437,17594.55819,18319.57616,19252.07266,22829.04052
12216.76011,17146.10835,18050.70224,19143.2036,22820.04196
12266.2645,17327.62751,17798.20037,19274.4541,22835.11322
11905.91984,16844.56413,17679.79564,19077.76369,22841.57496
11493.13975,17291.74979,17719.33518,18771.99793,22842.845
11084.37101,16881.28879,17703.0488,18745.47074,22858.27906
10610.6089,16419.80006,17925.8508,18713.34845,22872.15397
10744.74425,16658.1157,18119.24018,18825.72802,22867.85773
10865.35576,16541.33658,18534.13518,18951.84504,22881.94622
10361.24021,16017.05005,18277.13802,18872.91891,22882.34793
10327.8163,16046.39594,18395.71251,18782.09278,22889.90143
10698.64835,16280.61116,18662.13209,18726.37819,22877.51861
10773.27582,15946.43909,18287.62439,18520.33719,22867.19046
11284.15004,15981.27222,18202.1171,18603.17219,22863.18283
10751.73821,16274.64586,18569.52551,18597.46559,22860.24074
11319.79615,16400.57674,18327.77292,18368.16013,22852.87948
11170.37864,16595.14012,18182.44554,18296.95585,22842.34283
11762.20418,16660.65439,17946.07978,18399.04152,22852.14633
11352.70679,16606.2644,17742.33118,18671.31762,22857.38467
11360.28949,16132.027,17503.00427,18353.34171,22870.04414
11614.58638,15776.2591,17627.54924,18288.56379,22878.7159
12173.38757,15993.70827,17869.91705,18218.88122,22891.69883
11642.10916,16519.03612,17957.66622,18114.39566,22887.15213
12006.87894,16434.75431,17930.36182,17905.03245,22897.83922
11673.67402,15959.74374,18324.16288,18225.40072,22907.29459
11887.42406,15942.03623,18116.90927,18350.97208,22912.11801
12420.29532,15749.30759,18122.14173,18616.7363,22902.61577
12064.51358,15809.56057,18011.42678,18643.69134,22909.34369
11792.52991,15421.52513,17675.90206,18332.97928,22895.60566
12237.88556,15452.52666,17679.29584,18339.25969,22887.65685
12536.10122,15254.776,17566.96632,18501.43646,22884.72997
12548.50712,15085.85589,17826.90546,18358.25409,22895.14602
13139.04241,15298.92036,18170.65397,18269.35466,22884.84577
13650.62354,15479.00405,18026.29093,18449.4959,22888.14061
13277.07534,15968.00582,18383.46404,18753.81748,22890.13999
13830.98272,15642.05829,18132.72247,19127.91614,22891.31018
14306.18153,15224.90032,18385.02507,19479.25009,22889.85058
14143.094,14846.04349,18527.25992,19373.49717,22878.76906
14162.51829,14647.25687,18910.38789,19193.13336,22890.32075
14426.68615,15046.3502,18468.91714,19151.94135,22901.82948
14497.95729,15615.42408,18538.44104,19382.9425,22911.51625
14436.32687,15973.00664,18816.17823,19681.63793,22901.32422
14779.81137,15532.55099,18787.11039,19788.26118,22910.41563
14298.51483,15347.19856,19051.19003,19871.46738,22905.39801
